method,mode,sequence,exposure_next,photometric_condition,radius_bin,tested_points,valid_points,valid_fraction,mean_normal_error,median_normal_error,p90_normal_error,mean_EPE,median_EPE,p90_EPE,mean_abs_It,runtime_ms,ms_per_pair,ms_per_valid_point
classical_nf,baseline,Office,0.5,synthetic_gamma_vignette_exposure,all,17843,16005,0.8969904164097966,7.590303421020508,4.323566436767578,18.236787796020508,7.6032304763793945,4.332464694976807,18.244020462036133,0.15843263268470764,2427.2360820001495,3.9725631456630923,0.151654862980328
classical_nf,baseline,Office,0.5,synthetic_gamma_vignette_exposure,center,3155,2954,0.9362916006339144,6.818887233734131,3.778311014175415,15.599515914916992,6.83277702331543,3.792166233062744,15.600119590759277,0.16717365384101868,0.0,0.0,0.0
classical_nf,baseline,Office,0.5,synthetic_gamma_vignette_exposure,middle,9589,8548,0.8914381061633121,7.628894805908203,4.227242469787598,18.154464721679688,7.642441272735596,4.23780632019043,18.154476165771484,0.1606687754392624,0.0,0.0,0.0
classical_nf,baseline,Office,0.5,synthetic_gamma_vignette_exposure,border,5099,4503,0.883114336144342,8.023098945617676,4.809247016906738,19.543411254882812,8.03421688079834,4.815597057342529,19.543563842773438,0.14845363795757294,0.0,0.0,0.0
classical_nf,response,Office,0.5,synthetic_gamma_vignette_exposure,all,17843,17040,0.954996357114835,8.044352531433105,4.724242210388184,19.0256404876709,8.059736251831055,4.736102104187012,19.044923782348633,0.1961955577135086,8558.81431300213,14.007879399348823,0.5022778352700781
classical_nf,response,Office,0.5,synthetic_gamma_vignette_exposure,center,3155,3151,0.9987321711568938,7.466291904449463,4.330699920654297,17.681529998779297,7.483081817626953,4.349396705627441,17.700393676757812,0.2272108495235443,0.0,0.0,0.0
classical_nf,response,Office,0.5,synthetic_gamma_vignette_exposure,middle,9589,9293,0.969131296276984,8.149956703186035,4.713945388793945,19.20705795288086,8.165948867797852,4.7299580574035645,19.21347427368164,0.19986669719219208,0.0,0.0,0.0
classical_nf,response,Office,0.5,synthetic_gamma_vignette_exposure,border,5099,4596,0.9013532065110806,8.22713851928711,5.056289196014404,19.45417594909668,8.24032974243164,5.068031311035156,19.471168518066406,0.16750860214233398,0.0,0.0,0.0
classical_nf,vignette,Office,0.5,synthetic_gamma_vignette_exposure,all,17843,16535,0.9266939416017486,7.713089942932129,4.480691909790039,18.40260124206543,7.727690696716309,4.496774673461914,18.402658462524414,0.17777018249034882,3475.5068599993137,5.688227266774654,0.21019091986690738
classical_nf,vignette,Office,0.5,synthetic_gamma_vignette_exposure,center,3155,2956,0.9369255150554675,6.823834419250488,3.7783429622650146,15.601225852966309,6.837494373321533,3.7955918312072754,15.601736068725586,0.1699439436197281,0.0,0.0,0.0
