interval_index,start_s,end_s,events,dynamic_fraction,max_probability,mean_probability
0,0.0,0.09999999999999999,47009,0.0004947916666666667,0.7310585379600525,0.2692212164402008
1,0.09999999999999999,0.19999999999999998,47027,0.0012337239583333334,0.7310585379600525,0.2695779800415039
2,0.19999999999999998,0.3,46718,0.0011946614583333334,0.7310585379600525,0.26955774426460266
3,0.3,0.39999999999999997,45764,0.0011881510416666666,0.7310585379600525,0.26957792043685913
4,0.39999999999999997,0.5,45469,0.000517578125,0.7310585379600525,0.26923614740371704
5,0.5,0.6,45116,0.0009765625,0.7310585379600525,0.2694224417209625
6,0.6,0.7,46057,0.0018196614583333333,0.7310585379600525,0.26981866359710693
7,0.7,0.7999999999999999,46298,0.0007779947916666666,0.7310585379600525,0.2693774104118347
8,0.7999999999999999,0.8999999999999999,46185,0.00035481770833333334,0.7310535311698914,0.2691406011581421
9,0.8999999999999999,1.0,46519,0.0005110677083333333,0.7310585379600525,0.2692129611968994
10,1.0,1.0999999999999999,46710,0.0007421875,0.7310585379600525,0.2693330645561218
11,1.0999999999999999,1.2,46579,0.0007975260416666667,0.7310583591461182,0.2693411111831665
12,1.2,1.3,46851,0.00060546875,0.7310563921928406,0.269247442483902
13,1.3,1.4,47070,0.00041015625,0.7310553193092346,0.2691842019557953
14,1.4,1.5,47105,0.0009505208333333334,0.7310585379600525,0.26942941546440125
15,1.5,1.5999999999999999,47072,0.0005729166666666667,0.7310583591461182,0.269234836101532
16,1.5999999999999999,1.7,46574,0.000673828125,0.7310585379600525,0.26933395862579346
17,1.7,1.7999999999999998,46622,0.0015071614583333332,0.7310585379600525,0.2696656584739685
18,1.7999999999999998,1.9,45811,0.0007975260416666667,0.7310581207275391,0.2693539559841156
19,1.9,2.0,46665,0.000283203125,0.7310240864753723,0.26910296082496643
20,2.0,2.1,46768,0.0005240885416666666,0.7310585379600525,0.2692001461982727
21,2.1,2.1999999999999997,46266,0.001083984375,0.7310585379600525,0.269494891166687
22,2.1999999999999997,2.3,47028,0.0012923177083333333,0.7310585379600525,0.26960688829421997
23,2.3,2.4,46810,0.00038736979166666667,0.7310566902160645,0.2691548466682434
24,2.4,2.5,46788,0.00036458333333333335,0.7310584187507629,0.26915132999420166
25,2.5,2.6,46763,0.0003255208333333333,0.7310585379600525,0.26915109157562256
26,2.6,2.6999999999999997,46741,0.00023111979166666666,0.7309807538986206,0.2690601348876953
27,2.6999999999999997,2.8,46114,0.000712890625,0.7310584783554077,0.2693200707435608
28,2.8,2.9,46116,0.0010807291666666667,0.7307847738265991,0.26947683095932007
29,2.9,3.0,46820,0.0013346354166666667,0.7310585379600525,0.269597589969635
30,3.0,3.0999999999999996,46409,0.0007291666666666667,0.7309727072715759,0.26933562755584717
31,3.0999999999999996,3.1999999999999997,46895,0.0009635416666666667,0.7310574054718018,0.26944395899772644
32,3.1999999999999997,3.3,47346,0.00158203125,0.7310575246810913,0.26974013447761536
33,3.3,3.4,47080,0.0017024739583333334,0.7310585379600525,0.2698231637477875
34,3.4,3.5,46193,0.0012858072916666667,0.7310550212860107,0.26962459087371826
35,3.5,3.5999999999999996,46148,0.00330078125,0.7310585379600525,0.27050426602363586
36,3.5999999999999996,3.6999999999999997,46732,0.0021256510416666667,0.7310585379600525,0.2700774371623993
37,3.6999999999999997,3.8,46853,0.0025520833333333333,0.7310585379600525,0.2701532542705536
38,3.8,3.9,46924,0.0017415364583333334,0.7310585379600525,0.2698637545108795
39,3.9,4.0,46344,0.0026334635416666668,0.7310585379600525,0.27022796869277954
40,4.0,4.1,47071,0.002184244791666667,0.7310585379600525,0.2700936198234558
41,4.1,4.2,46866,0.002451171875,0.7310585379600525,0.27012503147125244
42,4.2,4.3,46033,0.0028059895833333335,0.7310585379600525,0.27036425471305847
43,4.3,4.3999999999999995,46861,0.00138671875,0.7310585379600525,0.2696360945701599
44,4.3999999999999995,4.5,46620,0.0031315104166666666,0.7310585379600525,0.27049699425697327
45,4.5,4.6,46184,0.0034700520833333332,0.7310585379600525,0.27062854170799255
46,4.6,4.7,47152,0.0036067708333333334,0.7310585379600525,0.2706844210624695
47,4.7,4.8,47287,0.002955729166666667,0.7310585379600525,0.2704249620437622
48,4.8,4.8999999999999995,47336,0.0058203125,0.7310585379600525,0.27175113558769226
49,4.8999999999999995,5.0,46554,0.00310546875,0.7310585379600525,0.27042973041534424
50,5.0,5.1,46613,0.002294921875,0.7310585379600525,0.27002862095832825
51,5.1,5.2,47394,0.0030045572916666667,0.7310585379600525,0.27043917775154114
52,5.2,5.3,47051,0.002392578125,0.7310585379600525,0.2701212763786316
53,5.3,5.3999999999999995,47374,0.0024576822916666666,0.7310585379600525,0.27017372846603394
54,5.3999999999999995,5.5,46859,0.0027473958333333335,0.7310585379600525,0.2702992856502533
55,5.5,5.6,46390,0.002451171875,0.7310585379600525,0.27013280987739563
56,5.6,5.7,45924,0.0037565104166666667,0.7310585379600525,0.27077558636665344
57,5.7,5.8,46531,0.00232421875,0.7310585379600525,0.2701036334037781
58,5.8,5.8999999999999995,46105,0.003880208333333333,0.7310585379600525,0.2707683742046356
59,5.8999999999999995,6.0,46310,0.0034212239583333334,0.7310585379600525,0.2705894112586975
60,6.0,6.1,45356,0.002119140625,0.7310585379600525,0.26994216442108154
61,6.1,6.199999999999999,45308,0.0015690104166666667,0.7310584783554077,0.26973211765289307
62,6.199999999999999,6.3,45527,0.0016438802083333333,0.7310583591461182,0.2697645127773285
63,6.3,6.3999999999999995,45658,0.0021940104166666666,0.7310585379600525,0.27000629901885986
64,6.3999999999999995,6.5,46739,0.0011360677083333333,0.7310585379600525,0.2695348262786865
65,6.5,6.6,46268,0.00125,0.7310585379600525,0.26957815885543823
66,6.6,6.699999999999999,44308,0.001142578125,0.7310585379600525,0.2695200741291046
67,6.699999999999999,6.8,43964,0.001728515625,0.7310585379600525,0.26974865794181824
68,6.8,6.8999999999999995,46634,0.0020084635416666666,0.7310585379600525,0.26990067958831787
69,6.8999999999999995,7.0,46457,0.0013444010416666667,0.7310501933097839,0.2696053385734558
70,7.0,7.1,47040,0.0021875,0.7310585379600525,0.26997074484825134
71,7.1,7.199999999999999,46165,0.0028515625,0.7310585379600525,0.27028688788414
72,7.199999999999999,7.3,45959,0.0013834635416666667,0.7310585379600525,0.2697018086910248
73,7.3,7.3999999999999995,43488,0.0023274739583333333,0.7310585379600525,0.27012625336647034
74,7.3999999999999995,7.5,45331,0.005032552083333333,0.7310585379600525,0.271279513835907
75,7.5,7.6,46545,0.0038639322916666666,0.7310585379600525,0.2707725465297699
76,7.6,7.699999999999999,46000,0.002659505208333333,0.7310585379600525,0.2702828347682953
77,7.699999999999999,7.8,46717,0.0017024739583333334,0.7310584783554077,0.26980817317962646
78,7.8,7.8999999999999995,45672,0.0018619791666666667,0.7310575246810913,0.2699441909790039
79,7.8999999999999995,8.0,45376,0.0031022135416666667,0.7310585379600525,0.27039211988449097
80,8.0,8.1,45720,0.0027408854166666666,0.7310585379600525,0.2702552080154419
81,8.1,8.2,45979,0.0040071614583333335,0.7310585379600525,0.2708317041397095
82,8.2,8.299999999999999,46743,0.0033658854166666668,0.7310585379600525,0.27055779099464417
83,8.299999999999999,8.4,45847,0.0018196614583333333,0.7310585379600525,0.26986539363861084
84,8.4,8.5,46856,0.002607421875,0.7310585379600525,0.2701912224292755
85,8.5,8.6,46216,0.002203776041666667,0.7310585379600525,0.2700052857398987
86,8.6,8.7,46562,0.00267578125,0.7310585379600525,0.27026283740997314
87,8.7,8.799999999999999,46080,0.0018522135416666667,0.7310585379600525,0.26988768577575684
88,8.799999999999999,8.9,46870,0.004280598958333334,0.7310585379600525,0.27092283964157104
89,8.9,9.0,46080,0.002939453125,0.7310585379600525,0.27039897441864014
90,9.0,9.1,46913,0.0023307291666666667,0.7310585379600525,0.27002036571502686
91,9.1,9.2,46431,0.0015755208333333333,0.7309975028038025,0.2697125971317291
92,9.2,9.299999999999999,45460,0.0017024739583333334,0.7310585379600525,0.26976510882377625
93,9.299999999999999,9.4,45825,0.0013151041666666667,0.7310543656349182,0.269643634557724
94,9.4,9.5,46666,0.005120442708333333,0.7310585379600525,0.27134156227111816
95,9.5,9.6,45914,0.00212890625,0.7310585379600525,0.27000200748443604
96,9.6,9.7,46219,0.002467447916666667,0.7310585379600525,0.27009648084640503
97,9.7,9.799999999999999,45890,0.001845703125,0.7310585379600525,0.26981887221336365
98,9.799999999999999,9.9,45797,0.0018196614583333333,0.7310585379600525,0.2698271572589874
99,9.9,10.0,45918,0.0017740885416666667,0.7310585379600525,0.26985272765159607
100,10.0,10.1,45806,0.0024088541666666668,0.7310585379600525,0.27011775970458984
101,10.1,10.2,46910,0.00140625,0.7310585379600525,0.26971399784088135
102,10.2,10.299999999999999,46452,0.0027018229166666666,0.7310585379600525,0.2702632248401642
103,10.299999999999999,10.4,46196,0.0014811197916666666,0.7310585379600525,0.26972225308418274
104,10.4,10.5,45435,0.0006705729166666666,0.7310556769371033,0.26932084560394287
105,10.5,10.6,45233,0.0006640625,0.731047511100769,0.2693386375904083
106,10.6,10.7,44341,0.00087890625,0.7310085892677307,0.2695061266422272
107,10.7,10.799999999999999,43570,0.0009537760416666667,0.7310355305671692,0.26950356364250183
108,10.799999999999999,10.9,45016,0.0032649739583333333,0.7310585379600525,0.27054446935653687
109,10.9,11.0,44392,0.0018391927083333333,0.7310585379600525,0.2698251008987427
110,11.0,11.1,45852,0.0011946614583333334,0.7310567498207092,0.26955562829971313
111,11.1,11.2,45310,0.0021028645833333333,0.7310585379600525,0.2699908912181854
112,11.2,11.299999999999999,45448,0.0013704427083333333,0.7310585379600525,0.26959294080734253
113,11.299999999999999,11.4,46110,0.0024055989583333334,0.7310584783554077,0.27017784118652344
114,11.4,11.5,45296,0.0014518229166666666,0.7310585379600525,0.2696395516395569
115,11.5,11.6,46318,0.0008235677083333334,0.7303353548049927,0.26935186982154846
116,11.6,11.7,44877,0.0016666666666666668,0.7310585379600525,0.2697610855102539
117,11.7,11.799999999999999,45457,0.002080078125,0.7310585379600525,0.2699492871761322
118,11.799999999999999,11.899999999999999,45952,0.0024088541666666668,0.7310585379600525,0.2700449228286743
119,11.899999999999999,12.0,46002,0.0013313802083333333,0.7310585379600525,0.2695905566215515
120,12.0,12.1,45772,0.0010872395833333333,0.7310585379600525,0.26953399181365967
121,12.1,12.2,45439,0.0021354166666666665,0.7310585379600525,0.269940048456192
122,12.2,12.299999999999999,46252,0.0009049479166666666,0.7310574054718018,0.2694607377052307
123,12.299999999999999,12.399999999999999,45153,0.0007682291666666666,0.7309553623199463,0.2693091630935669
124,12.399999999999999,12.5,45209,0.0005859375,0.7310436367988586,0.2693200707435608
125,12.5,12.6,44572,0.001796875,0.7310585379600525,0.26980945467948914
126,12.6,12.7,45310,0.0019694010416666666,0.7310585379600525,0.2699096202850342
127,12.7,12.799999999999999,45242,0.0016634114583333334,0.7310585379600525,0.26978886127471924
128,12.799999999999999,12.899999999999999,44563,0.000380859375,0.7305617332458496,0.2691443860530853
129,12.899999999999999,13.0,44526,0.0021744791666666666,0.7310585379600525,0.2699660658836365
130,13.0,13.1,45426,0.0011653645833333334,0.7310585379600525,0.2695564925670624
131,13.1,13.2,46372,0.001966145833333333,0.7310585379600525,0.2698793411254883
132,13.2,13.299999999999999,46404,0.0015983072916666667,0.7310585379600525,0.2698003649711609
133,13.299999999999999,13.399999999999999,47271,0.00212890625,0.7310585379600525,0.2700173854827881
134,13.399999999999999,13.5,46518,0.00016927083333333334,0.7302548885345459,0.269094854593277
135,13.5,13.6,47081,0.00035807291666666664,0.7296101450920105,0.2691715657711029
136,13.6,13.7,47475,0.000517578125,0.728043258190155,0.26922380924224854
137,13.7,13.799999999999999,45779,0.0012174479166666666,0.7310585379600525,0.26952114701271057
138,13.799999999999999,13.899999999999999,46094,0.0017805989583333333,0.7310584783554077,0.2698045074939728
139,13.899999999999999,14.0,46013,0.0006477864583333333,0.7310585379600525,0.26928475499153137
140,14.0,14.1,45640,0.00048502604166666665,0.7310585379600525,0.26923811435699463
141,14.1,14.2,46456,0.00126953125,0.7310585379600525,0.26958590745925903
142,14.2,14.299999999999999,46088,0.00015299479166666668,0.7310585379600525,0.2690744400024414
143,14.299999999999999,14.399999999999999,46603,0.00024088541666666667,0.7307572960853577,0.26911693811416626
144,14.399999999999999,14.5,46441,0.00064453125,0.7310585379600525,0.2692888677120209
145,14.5,14.6,45564,0.0014225260416666668,0.7310585379600525,0.2696549594402313
146,14.6,14.7,46302,0.001962890625,0.7310585379600525,0.2699228525161743
147,14.7,14.799999999999999,46954,0.00158203125,0.7310585379600525,0.2697335481643677
148,14.799999999999999,14.899999999999999,45915,0.002451171875,0.7310585379600525,0.27015528082847595
149,14.899999999999999,15.0,46866,0.0025358072916666667,0.7310585379600525,0.2701728641986847
150,15.0,15.1,46388,0.0014583333333333334,0.7310585379600525,0.26965218782424927
151,15.1,15.2,47108,0.001884765625,0.7310585379600525,0.26987212896347046
152,15.2,15.299999999999999,46441,0.0027180989583333332,0.7310584783554077,0.2702975273132324
153,15.299999999999999,15.399999999999999,46599,0.0022721354166666667,0.7310585379600525,0.2699887454509735
154,15.399999999999999,15.5,46459,0.0038313802083333333,0.7310585379600525,0.2707449197769165
155,15.5,15.6,47865,0.0029329427083333334,0.7310585379600525,0.2703913450241089
156,15.6,15.7,47054,0.0005598958333333334,0.7310579419136047,0.2692645788192749
157,15.7,15.799999999999999,47749,0.0010904947916666667,0.7310585379600525,0.2695194184780121
158,15.799999999999999,15.899999999999999,47502,0.0001171875,0.7300940155982971,0.2690528929233551
159,15.899999999999999,16.0,46633,0.0014095052083333334,0.7310585379600525,0.2696388065814972
160,16.0,16.099999999999998,47532,0.000419921875,0.7310584783554077,0.26925182342529297
161,16.099999999999998,16.2,47169,0.0011848958333333334,0.7310583591461182,0.2694711685180664
162,16.2,16.3,46875,0.0020703125,0.7310585379600525,0.2699451744556427
163,16.3,16.4,47099,0.0012662760416666666,0.7310585379600525,0.26956620812416077
164,16.4,16.5,46906,0.0015787760416666667,0.7310585379600525,0.2697010934352875
165,16.5,16.599999999999998,46356,0.0012239583333333334,0.7310585379600525,0.2695925533771515
166,16.599999999999998,16.7,46766,0.0019759114583333334,0.7310585379600525,0.26988765597343445
167,16.7,16.8,46646,0.0015559895833333333,0.7310585379600525,0.26967287063598633
168,16.8,16.9,46978,0.00216796875,0.7310585379600525,0.2699810862541199
169,16.9,17.0,47756,0.002923177083333333,0.7310585379600525,0.27031126618385315
170,17.0,17.099999999999998,46350,0.0012760416666666666,0.7310585379600525,0.26960527896881104
171,17.099999999999998,17.2,47292,0.0019010416666666668,0.7310585379600525,0.2698343098163605
172,17.2,17.3,46561,0.00025065104166666665,0.7302361726760864,0.2691057622432709
173,17.3,17.4,46989,0.0005924479166666667,0.7310584187507629,0.2692478597164154
174,17.4,17.5,47372,0.0008138020833333334,0.7310585379600525,0.2693597078323364
175,17.5,17.599999999999998,46564,0.001787109375,0.7310585379600525,0.2698071002960205
176,17.599999999999998,17.7,46941,0.0018294270833333333,0.7310585379600525,0.26980575919151306
177,17.7,17.8,46361,0.0013932291666666667,0.7310585379600525,0.2696143686771393
178,17.8,17.9,47352,0.002509765625,0.7310585379600525,0.27010273933410645
179,17.9,18.0,46704,0.0027018229166666666,0.7310585379600525,0.2702195942401886
180,18.0,18.099999999999998,46606,0.0005013020833333333,0.7310585379600525,0.26928144693374634
181,18.099999999999998,18.2,47245,0.0007877604166666666,0.7310585379600525,0.269360214471817
182,18.2,18.3,47562,0.00078125,0.7310585379600525,0.26940661668777466
183,18.3,18.4,47247,0.001005859375,0.7310585379600525,0.2694809138774872
184,18.4,18.5,47125,0.00011393229166666667,0.730771005153656,0.26906976103782654
185,18.5,18.599999999999998,47219,0.00146484375,0.731056809425354,0.26964935660362244
186,18.599999999999998,18.7,47335,0.00019205729166666666,0.7310585379600525,0.26909783482551575
187,18.7,18.8,47100,0.000126953125,0.7310463786125183,0.26902613043785095
188,18.8,18.9,46999,0.0015169270833333332,0.7310585379600525,0.2696891725063324
189,18.9,19.0,47161,0.0020670572916666667,0.7310585379600525,0.2699126899242401
190,19.0,19.099999999999998,46781,0.0008626302083333333,0.7310585379600525,0.26935431361198425
191,19.099999999999998,19.2,47092,0.0008528645833333333,0.7310585379600525,0.2694412171840668
192,19.2,19.3,46831,0.002646484375,0.7310585379600525,0.27018600702285767
193,19.3,19.4,46869,0.00181640625,0.7310584187507629,0.2698521316051483
194,19.4,19.5,47278,0.002041015625,0.7310585379600525,0.2699143886566162
195,19.5,19.599999999999998,47445,0.0011328125,0.7310584783554077,0.2695603668689728
196,19.599999999999998,19.7,47466,0.0017513020833333332,0.7310585379600525,0.26980409026145935
197,19.7,19.8,47404,0.003291015625,0.7310585379600525,0.27054721117019653
198,19.8,19.9,46966,0.0027473958333333335,0.7310585379600525,0.27031224966049194
199,19.9,20.0,47382,0.0014680989583333334,0.7310585379600525,0.2697601318359375
200,20.0,20.099999999999998,47657,0.0030826822916666667,0.7310585379600525,0.2704637348651886
201,20.099999999999998,20.2,46931,0.003115234375,0.7310585379600525,0.27042004466056824
202,20.2,20.3,46615,0.001611328125,0.7310585379600525,0.26981112360954285
203,20.3,20.4,47580,0.001966145833333333,0.7310585379600525,0.2699166238307953
204,20.4,20.5,47058,0.0020833333333333333,0.7310585379600525,0.2700287103652954
205,20.5,20.599999999999998,47292,0.0026888020833333334,0.7310585379600525,0.27019232511520386
206,20.599999999999998,20.7,47351,0.0023990885416666666,0.7310585379600525,0.2701098322868347
207,20.7,20.8,47172,0.002197265625,0.7310585379600525,0.27004167437553406
208,20.8,20.9,47706,0.0017740885416666667,0.7310585379600525,0.2698349952697754
209,20.9,21.0,47275,0.00228515625,0.7310585379600525,0.270037978887558
210,21.0,21.099999999999998,46420,0.00255859375,0.7310585379600525,0.27020159363746643
211,21.099999999999998,21.2,46482,0.004970703125,0.7310585379600525,0.2712520360946655
212,21.2,21.3,46892,0.003349609375,0.7310585379600525,0.27054452896118164
213,21.3,21.4,44190,0.004313151041666667,0.7310585379600525,0.2709355354309082
214,21.4,21.5,46791,0.0035872395833333333,0.7310585379600525,0.27062198519706726
215,21.5,21.599999999999998,47046,0.003180338541666667,0.7310585379600525,0.27045032382011414
216,21.599999999999998,21.7,47079,0.00263671875,0.7310585379600525,0.270244836807251
217,21.7,21.8,46857,0.0025227864583333335,0.7310585379600525,0.2701433002948761
218,21.8,21.9,46786,0.0035188802083333335,0.7310585379600525,0.27061182260513306
219,21.9,22.0,46746,0.0035807291666666665,0.7310585379600525,0.2705937623977661
220,22.0,22.099999999999998,46989,0.0037955729166666667,0.7310585379600525,0.2706601917743683
221,22.099999999999998,22.2,47149,0.0035416666666666665,0.7310585379600525,0.2705588638782501
222,22.2,22.3,47205,0.0027864583333333335,0.7310585379600525,0.2702826261520386
223,22.3,22.4,47255,0.0022298177083333332,0.7310585379600525,0.2700265645980835
224,22.4,22.5,46890,0.0018424479166666667,0.7310585379600525,0.2698817253112793
225,22.5,22.599999999999998,47104,0.0017513020833333332,0.7310585379600525,0.2697957456111908
226,22.599999999999998,22.7,47025,0.002659505208333333,0.7310585379600525,0.27018794417381287
227,22.7,22.8,47702,0.0025944010416666667,0.7310585379600525,0.270221084356308
228,22.8,22.9,46966,0.0019401041666666666,0.7310585379600525,0.26989099383354187
229,22.9,23.0,46474,0.0016959635416666666,0.7310585379600525,0.26977527141571045
230,23.0,23.099999999999998,47127,0.002646484375,0.7310585379600525,0.2702426016330719
231,23.099999999999998,23.2,46193,0.003291015625,0.7310585379600525,0.27059558033943176
232,23.2,23.3,46405,0.0028483072916666665,0.7310585379600525,0.27034446597099304
233,23.3,23.4,45442,0.0022981770833333335,0.7310585379600525,0.2700388729572296
234,23.4,23.5,46538,0.0030338541666666665,0.7310585379600525,0.270358681678772
235,23.5,23.599999999999998,46014,0.003740234375,0.7310585379600525,0.27069777250289917
236,23.599999999999998,23.7,45238,0.0032291666666666666,0.7310585379600525,0.2704818546772003
237,23.7,23.799999999999997,45907,0.0050260416666666665,0.7310585379600525,0.27130481600761414
238,23.799999999999997,23.9,46391,0.0026139322916666667,0.7310585379600525,0.27020227909088135
239,23.9,24.0,45672,0.0013736979166666667,0.7310585379600525,0.2695935070514679
240,24.0,24.099999999999998,46367,0.0017057291666666666,0.7310585379600525,0.2697679400444031
241,24.099999999999998,24.2,46538,0.00064453125,0.7310584187507629,0.26930567622184753
242,24.2,24.299999999999997,44307,0.000693359375,0.7310585379600525,0.26936230063438416
243,24.299999999999997,24.4,42923,0.0018001302083333333,0.7310585379600525,0.2698213458061218
244,24.4,24.5,44797,0.003977864583333333,0.7310585379600525,0.270851194858551
245,24.5,24.599999999999998,46473,0.0030598958333333333,0.7310585379600525,0.27042829990386963
246,24.599999999999998,24.7,45446,0.002236328125,0.7310585379600525,0.270024836063385
247,24.7,24.799999999999997,45870,0.002692057291666667,0.7310585379600525,0.2702693045139313
248,24.799999999999997,24.9,46538,0.0032421875,0.7310585379600525,0.27048882842063904
249,24.9,25.0,46606,0.001708984375,0.7310585379600525,0.2697913348674774
250,25.0,25.099999999999998,44701,0.002451171875,0.7310585379600525,0.27009114623069763
251,25.099999999999998,25.2,45596,0.0026497395833333334,0.7310585379600525,0.27022063732147217
252,25.2,25.299999999999997,46329,0.0038151041666666667,0.7310585379600525,0.2707939147949219
253,25.299999999999997,25.4,46488,0.004866536458333333,0.7310585379600525,0.2711776793003082
254,25.4,25.5,46703,0.0032942708333333335,0.7310585379600525,0.2705276310443878
255,25.5,25.599999999999998,45531,0.00146484375,0.7310585379600525,0.269692987203598
256,25.599999999999998,25.7,46229,0.00205078125,0.7310585379600525,0.269987016916275
257,25.7,25.799999999999997,46389,0.0011165364583333333,0.7310585379600525,0.26960489153862
258,25.799999999999997,25.9,46909,0.0020735677083333335,0.7310585379600525,0.269959032535553
259,25.9,26.0,47479,0.0020963541666666665,0.7310585379600525,0.27002426981925964
260,26.0,26.099999999999998,46976,0.0023860677083333334,0.7310585379600525,0.2701237201690674
261,26.099999999999998,26.2,47012,0.001220703125,0.7310585379600525,0.2696053683757782
262,26.2,26.299999999999997,46761,0.000693359375,0.7310584783554077,0.26932379603385925
263,26.299999999999997,26.4,45340,0.0013704427083333333,0.7310585379600525,0.2696748375892639
264,26.4,26.5,45521,0.002060546875,0.7310585379600525,0.2699917256832123
265,26.5,26.599999999999998,45539,0.0023177083333333335,0.7310585379600525,0.2700878381729126
266,26.599999999999998,26.7,46401,0.0009993489583333334,0.7310585379600525,0.26944875717163086
267,26.7,26.799999,46510,0.0017220052083333334,0.7310585379600525,0.2698385715484619
