interval_index,start_s,end_s,events,dynamic_fraction,max_probability,mean_probability
0,0.0,0.09999999999999999,44823,0.00537109375,0.7310585379600525,0.27157142758369446
1,0.09999999999999999,0.19999999999999998,45192,0.005725911458333333,0.7310585379600525,0.27158933877944946
2,0.19999999999999998,0.3,42810,0.006087239583333333,0.7310585379600525,0.2717682421207428
3,0.3,0.39999999999999997,43157,0.007249348958333333,0.7310585379600525,0.27224498987197876
4,0.39999999999999997,0.5,43954,0.0056770833333333335,0.7310585379600525,0.2716396450996399
5,0.5,0.6,43712,0.004222005208333333,0.7310585379600525,0.2709188163280487
6,0.6,0.7,44065,0.003310546875,0.7310585379600525,0.27053913474082947
7,0.7,0.7999999999999999,43749,0.0030501302083333335,0.7310585379600525,0.2704063653945923
8,0.7999999999999999,0.8999999999999999,44041,0.0026692708333333334,0.7310585379600525,0.27024152874946594
9,0.8999999999999999,1.0,44635,0.003779296875,0.7310585379600525,0.2708532214164734
10,1.0,1.0999999999999999,46188,0.006995442708333333,0.7310585379600525,0.27225378155708313
11,1.0999999999999999,1.2,46029,0.005930989583333333,0.7310585379600525,0.2717288136482239
12,1.2,1.3,45485,0.006627604166666667,0.7310585379600525,0.2720332741737366
13,1.3,1.4,45894,0.004274088541666667,0.7310585379600525,0.2709556818008423
14,1.4,1.5,44962,0.005296223958333333,0.7310585379600525,0.27145975828170776
15,1.5,1.5999999999999999,45856,0.005895182291666667,0.7310585379600525,0.2717339098453522
16,1.5999999999999999,1.7,45759,0.0027473958333333335,0.7310585379600525,0.2703265845775604
17,1.7,1.7999999999999998,44684,0.0060416666666666665,0.7310585379600525,0.27176839113235474
18,1.7999999999999998,1.9,40196,0.005113932291666666,0.7310585379600525,0.2713643014431
19,1.9,2.0,42277,0.00314453125,0.7310585379600525,0.27047717571258545
20,2.0,2.1,43678,0.003675130208333333,0.7310585379600525,0.27069091796875
21,2.1,2.1999999999999997,42227,0.00306640625,0.7310585379600525,0.27047744393348694
22,2.1999999999999997,2.3,43059,0.005052083333333333,0.7310585379600525,0.27141910791397095
23,2.3,2.4,44409,0.0029296875,0.7310585379600525,0.27032172679901123
24,2.4,2.5,44491,0.0027766927083333333,0.7310585379600525,0.270234614610672
25,2.5,2.6,42985,0.0033040364583333333,0.7310585379600525,0.2705134451389313
26,2.6,2.6999999999999997,41558,0.002900390625,0.7310585379600525,0.2702861726284027
27,2.6999999999999997,2.8,43232,0.0024088541666666668,0.7310585379600525,0.27006131410598755
28,2.8,2.9,44081,0.002132161458333333,0.7310585379600525,0.2699967622756958
29,2.9,3.0,43753,0.0019108072916666668,0.7310585379600525,0.26991862058639526
30,3.0,3.0999999999999996,42118,0.0030924479166666665,0.7310585379600525,0.27042046189308167
31,3.0999999999999996,3.1999999999999997,41669,0.0030208333333333333,0.7310585379600525,0.2703879177570343
32,3.1999999999999997,3.3,41976,0.0032584635416666665,0.7310585379600525,0.27051207423210144
33,3.3,3.4,40771,0.0025358072916666667,0.7310585379600525,0.27021023631095886
34,3.4,3.5,40570,0.00287109375,0.7310585379600525,0.2703123390674591
35,3.5,3.5999999999999996,39392,0.0030078125,0.7310585379600525,0.27036622166633606
36,3.5999999999999996,3.6999999999999997,39316,0.0040104166666666665,0.7310585379600525,0.2708567678928375
37,3.6999999999999997,3.8,44057,0.003369140625,0.7310585379600525,0.2704983949661255
38,3.8,3.9,44552,0.0026627604166666666,0.7310585379600525,0.2702255845069885
39,3.9,4.0,44225,0.0035611979166666665,0.7310585379600525,0.27063363790512085
40,4.0,4.1,43238,0.004039713541666667,0.7310585379600525,0.270858496427536
41,4.1,4.2,43287,0.0025325520833333333,0.7310585379600525,0.2701418697834015
42,4.2,4.3,42511,0.004641927083333333,0.7310585379600525,0.27106958627700806
43,4.3,4.3999999999999995,43305,0.0032584635416666665,0.7310585379600525,0.27045273780822754
44,4.3999999999999995,4.5,40974,0.0023860677083333334,0.7310585379600525,0.2701224982738495
45,4.5,4.6,39267,0.0059375,0.7310585379600525,0.27169322967529297
46,4.6,4.7,44447,0.004990234375,0.7310585379600525,0.27133336663246155
47,4.7,4.8,44822,0.0031022135416666667,0.7310585379600525,0.27042993903160095
48,4.8,4.8999999999999995,44085,0.003880208333333333,0.7310585379600525,0.2707444727420807
49,4.8999999999999995,5.0,42647,0.0024446614583333334,0.7310585379600525,0.2701103389263153
50,5.0,5.1,42062,0.0021614583333333334,0.7310585379600525,0.27002495527267456
51,5.1,5.2,41653,0.0020149739583333335,0.7310585379600525,0.2699156403541565
52,5.2,5.3,40576,0.0016015625,0.7310585379600525,0.2697100043296814
53,5.3,5.3999999999999995,39982,0.002255859375,0.7310585379600525,0.2700303792953491
54,5.3999999999999995,5.5,41191,0.0023307291666666667,0.7310585379600525,0.2700500786304474
55,5.5,5.6,44781,0.002314453125,0.7310585379600525,0.2700388729572296
56,5.6,5.7,44927,0.003424479166666667,0.7310585379600525,0.27057281136512756
57,5.7,5.8,45135,0.004114583333333333,0.7310585379600525,0.27089646458625793
58,5.8,5.8999999999999995,45670,0.0037239583333333335,0.7310585379600525,0.27072766423225403
59,5.8999999999999995,6.0,46066,0.0036979166666666666,0.7310585379600525,0.27073702216148376
60,6.0,6.1,44038,0.003219401041666667,0.7310585379600525,0.2704524099826813
61,6.1,6.199999999999999,43688,0.003623046875,0.7310585379600525,0.27066946029663086
62,6.199999999999999,6.3,44929,0.0035416666666666665,0.7310585379600525,0.2706417441368103
63,6.3,6.3999999999999995,42853,0.002255859375,0.7310585379600525,0.27001717686653137
64,6.3999999999999995,6.5,42309,0.002158203125,0.7310585379600525,0.27002134919166565
65,6.5,6.6,42576,0.003369140625,0.7310585379600525,0.2706056535243988
66,6.6,6.699999999999999,43707,0.0011686197916666668,0.7310585379600525,0.2696157991886139
67,6.699999999999999,6.8,44590,0.0026139322916666667,0.7310585379600525,0.2701876163482666
68,6.8,6.8999999999999995,44629,0.002236328125,0.7310585379600525,0.27000537514686584
69,6.8999999999999995,7.0,42725,0.002470703125,0.7310585379600525,0.2701672315597534
70,7.0,7.1,41167,0.0015266927083333332,0.7310585379600525,0.26969292759895325
71,7.1,7.199999999999999,40074,0.0017024739583333334,0.7310585379600525,0.2698288559913635
72,7.199999999999999,7.3,43966,0.002659505208333333,0.7310585379600525,0.2702387273311615
73,7.3,7.3999999999999995,42385,0.00197265625,0.7310585379600525,0.2699485719203949
74,7.3999999999999995,7.5,40136,0.0020084635416666666,0.7310585379600525,0.26997098326683044
75,7.5,7.6,40408,0.002138671875,0.7310585379600525,0.26998963952064514
76,7.6,7.699999999999999,43618,0.001998697916666667,0.7310585379600525,0.26991957426071167
77,7.699999999999999,7.8,45047,0.0021354166666666665,0.7310585379600525,0.26998814940452576
78,7.8,7.8999999999999995,43684,0.0014029947916666668,0.7310585379600525,0.26964709162712097
79,7.8999999999999995,8.0,41263,0.0016796875,0.7310585379600525,0.2697851359844208
80,8.0,8.1,43572,0.002447916666666667,0.7310585379600525,0.27012115716934204
81,8.1,8.2,43653,0.0029264322916666666,0.7310585379600525,0.2703249752521515
82,8.2,8.299999999999999,44384,0.007434895833333333,0.7310585379600525,0.2724566161632538
83,8.299999999999999,8.4,43936,0.011682942708333333,0.7310585379600525,0.27436813712120056
84,8.4,8.5,42060,0.00314453125,0.7310585379600525,0.27044323086738586
85,8.5,8.6,40050,0.004654947916666667,0.7310585379600525,0.2712250351905823
86,8.6,8.7,37968,0.005764973958333333,0.7310585379600525,0.2717139422893524
87,8.7,8.799999999999999,36039,0.006344401041666667,0.7310585379600525,0.2719363868236542
88,8.799999999999999,8.9,37170,0.004208984375,0.7310585379600525,0.2709944248199463
89,8.9,9.0,36186,0.006139322916666667,0.7310585379600525,0.2718757688999176
90,9.0,9.1,33369,0.012682291666666666,0.7310585379600525,0.2748268246650696
