interval_index,start_s,end_s,events,dynamic_fraction,max_probability,mean_probability
0,0.0,0.09999999999999999,41470,0.0051888020833333335,0.7310585379600525,0.2713894546031952
1,0.09999999999999999,0.19999999999999998,43203,0.005641276041666666,0.7310585379600525,0.271600604057312
2,0.19999999999999998,0.3,44100,0.006682942708333334,0.7310585379600525,0.27202868461608887
3,0.3,0.39999999999999997,44097,0.003515625,0.7310585379600525,0.27060362696647644
4,0.39999999999999997,0.5,43789,0.003987630208333333,0.7310585379600525,0.2708883285522461
5,0.5,0.6,44146,0.004072265625,0.7310585379600525,0.2708559036254883
6,0.6,0.7,44130,0.0022591145833333335,0.7310585379600525,0.2700326442718506
7,0.7,0.7999999999999999,44588,0.0019759114583333334,0.7310585379600525,0.2699289321899414
8,0.7999999999999999,0.8999999999999999,44729,0.0030631510416666667,0.7310585379600525,0.2704436182975769
9,0.8999999999999999,1.0,44670,0.0023404947916666665,0.7310585379600525,0.27007564902305603
10,1.0,1.0999999999999999,44025,0.0025,0.7310585379600525,0.27015775442123413
11,1.0999999999999999,1.2,44115,0.0017838541666666667,0.7310585379600525,0.2698632478713989
12,1.2,1.3,44515,0.0017057291666666666,0.7310585379600525,0.26976892352104187
13,1.3,1.4,45319,0.00193359375,0.7310585379600525,0.2699311375617981
14,1.4,1.5,46056,0.0025553385416666667,0.7310585379600525,0.2701950669288635
15,1.5,1.5999999999999999,46209,0.003668619791666667,0.7310585379600525,0.2706897258758545
16,1.5999999999999999,1.7,46201,0.0033854166666666668,0.7310585379600525,0.2705141305923462
17,1.7,1.7999999999999998,45092,0.0029069010416666666,0.7310585379600525,0.27036717534065247
18,1.7999999999999998,1.9,44876,0.0037662760416666665,0.7310585379600525,0.27074387669563293
19,1.9,2.0,45213,0.0037890625,0.7310585379600525,0.2707274258136749
20,2.0,2.1,43625,0.004078776041666667,0.7310585379600525,0.27089622616767883
21,2.1,2.1999999999999997,43235,0.004378255208333333,0.7310585379600525,0.2709898054599762
22,2.1999999999999997,2.3,42968,0.003466796875,0.7310585379600525,0.27060532569885254
23,2.3,2.4,43620,0.003167317708333333,0.7310585379600525,0.2704945504665375
24,2.4,2.5,44101,0.0042513020833333335,0.7310585379600525,0.27097609639167786
25,2.5,2.6,44036,0.0045735677083333336,0.7310585379600525,0.2711123824119568
26,2.6,2.6999999999999997,43482,0.0061328125,0.7310585379600525,0.271797776222229
27,2.6999999999999997,2.8,43998,0.0040104166666666665,0.7310585379600525,0.27087849378585815
28,2.8,2.9,44734,0.00384765625,0.7310585379600525,0.27076226472854614
29,2.9,3.0,44923,0.003990885416666667,0.7310585379600525,0.2708253860473633
30,3.0,3.0999999999999996,44330,0.004749348958333333,0.7310585379600525,0.27116212248802185
31,3.0999999999999996,3.1999999999999997,44586,0.0054296875,0.7310585379600525,0.2715321481227875
32,3.1999999999999997,3.3,44494,0.007679036458333333,0.7310585379600525,0.2725081145763397
33,3.3,3.4,44545,0.0070703125,0.7310585379600525,0.2721453905105591
34,3.4,3.5,45839,0.005729166666666666,0.7310585379600525,0.2715916335582733
35,3.5,3.5999999999999996,46126,0.004156901041666667,0.7310585379600525,0.2709712088108063
36,3.5999999999999996,3.6999999999999997,45484,0.004563802083333333,0.7310585379600525,0.2711569368839264
37,3.6999999999999997,3.8,45595,0.004137369791666666,0.7310585379600525,0.2708836495876312
38,3.8,3.9,45789,0.0030501302083333335,0.7310585379600525,0.2704353332519531
39,3.9,4.0,45305,0.004440104166666667,0.7310585379600525,0.2710055708885193
40,4.0,4.1,45042,0.004069010416666667,0.7310585379600525,0.270804226398468
41,4.1,4.2,44386,0.004951171875,0.7310585379600525,0.27123862504959106
42,4.2,4.3,45429,0.00623046875,0.7310585379600525,0.27180853486061096
43,4.3,4.3999999999999995,45287,0.006080729166666667,0.7310585379600525,0.2717474102973938
44,4.3999999999999995,4.5,45407,0.004876302083333333,0.7310585379600525,0.2712334394454956
45,4.5,4.6,46028,0.006442057291666667,0.7310585379600525,0.27202147245407104
46,4.6,4.7,45167,0.002626953125,0.7310585379600525,0.27016955614089966
47,4.7,4.8,44328,0.003463541666666667,0.7310585379600525,0.270624041557312
48,4.8,4.8999999999999995,44858,0.004508463541666666,0.7310585379600525,0.2710072994232178
49,4.8999999999999995,5.0,45070,0.004729817708333334,0.7310585379600525,0.2711503505706787
50,5.0,5.1,44576,0.00400390625,0.7310585379600525,0.27081555128097534
51,5.1,5.2,44663,0.010442708333333333,0.7310585379600525,0.2737535238265991
52,5.2,5.3,44434,0.005836588541666667,0.7310585379600525,0.2717183530330658
53,5.3,5.3999999999999995,45525,0.005520833333333333,0.7310585379600525,0.27146464586257935
54,5.3999999999999995,5.5,44630,0.011171875,0.7310585379600525,0.274162232875824
55,5.5,5.6,44023,0.008125,0.7310585379600525,0.2727148234844208
56,5.6,5.7,45062,0.004313151041666667,0.7310585379600525,0.27094075083732605
57,5.7,5.8,44101,0.003948567708333333,0.7310585379600525,0.270813912153244
58,5.8,5.8999999999999995,43952,0.005139973958333334,0.7310585379600525,0.2713671624660492
59,5.8999999999999995,6.0,43880,0.0035709635416666667,0.7310585379600525,0.27064743638038635
60,6.0,6.1,45162,0.003147786458333333,0.7310585379600525,0.27046695351600647
61,6.1,6.199999999999999,41728,0.0042545572916666665,0.7310585379600525,0.270979106426239
62,6.199999999999999,6.3,43485,0.01080078125,0.7310585379600525,0.2740175426006317
63,6.3,6.3999999999999995,42999,0.0033854166666666668,0.7310585379600525,0.2705548405647278
64,6.3999999999999995,6.5,42778,0.0016764322916666666,0.7310585379600525,0.2698111832141876
65,6.5,6.6,43432,0.003740234375,0.7310585379600525,0.2706878185272217
66,6.6,6.699999999999999,45122,0.0026009114583333335,0.7310585379600525,0.27022314071655273
67,6.699999999999999,6.8,43298,0.00337890625,0.7310585379600525,0.2705495357513428
68,6.8,6.8999999999999995,44797,0.002958984375,0.7310585379600525,0.2703465521335602
69,6.8999999999999995,7.0,44672,0.00265625,0.7310585379600525,0.27022087574005127
70,7.0,7.1,42525,0.0022395833333333334,0.7310585379600525,0.2700686752796173
71,7.1,7.199999999999999,43647,0.0023111979166666667,0.7310585379600525,0.27008891105651855
72,7.199999999999999,7.3,44253,0.0031412760416666668,0.7310584783554077,0.2704981863498688
73,7.3,7.3999999999999995,42806,0.005335286458333333,0.7310585379600525,0.27146703004837036
74,7.3999999999999995,7.5,43185,0.0010514322916666667,0.7310585379600525,0.2694995403289795
75,7.5,7.6,44168,0.002223307291666667,0.7310585379600525,0.2699648439884186
76,7.6,7.699999999999999,41881,0.002646484375,0.7310585379600525,0.2702055871486664
77,7.699999999999999,7.8,41566,0.0030696614583333335,0.7310584783554077,0.27038007974624634
78,7.8,7.8999999999999995,42599,0.00255859375,0.7310585379600525,0.2701527774333954
79,7.8999999999999995,8.0,41351,0.00251953125,0.7310585379600525,0.2701523005962372
80,8.0,8.1,42201,0.001630859375,0.7310585379600525,0.26976555585861206
81,8.1,8.2,40465,0.0027408854166666666,0.7310585379600525,0.2702704966068268
82,8.2,8.299999999999999,39055,0.003017578125,0.7310585379600525,0.2704296410083771
83,8.299999999999999,8.4,40299,0.0054361979166666664,0.7310585379600525,0.2714804708957672
84,8.4,8.5,42709,0.02125,0.7310585379600525,0.27882134914398193
85,8.5,8.6,41793,0.00193359375,0.7310585379600525,0.2699093818664551
86,8.6,8.7,42354,0.00203125,0.7310585379600525,0.2699722945690155
87,8.7,8.799999999999999,39644,0.0035611979166666665,0.7310585379600525,0.2706874907016754
88,8.799999999999999,8.9,41866,0.0013899739583333333,0.7310585379600525,0.26969239115715027
89,8.9,9.0,43617,0.0021158854166666665,0.7310585379600525,0.27004337310791016
90,9.0,9.1,43283,0.00076171875,0.7253201007843018,0.26941025257110596
91,9.1,9.2,43557,0.0021028645833333333,0.7310585379600525,0.26999950408935547
92,9.2,9.299999999999999,42934,0.00224609375,0.7310585379600525,0.27009865641593933
93,9.299999999999999,9.4,42045,0.003411458333333333,0.7310585379600525,0.2706107497215271
94,9.4,9.5,43347,0.003720703125,0.7310585379600525,0.2707279622554779
95,9.5,9.6,41974,0.0011165364583333333,0.7310570478439331,0.26958248019218445
96,9.6,9.7,39969,0.0014973958333333334,0.73105388879776,0.2697383165359497
97,9.7,9.799999999999999,40587,0.005182291666666667,0.7310585379600525,0.2714133560657501
98,9.799999999999999,9.9,42243,0.004319661458333333,0.7310585379600525,0.27107253670692444
99,9.9,10.0,43504,0.011393229166666666,0.7310585379600525,0.2742795944213867
100,10.0,10.1,41932,0.0020963541666666665,0.7310585379600525,0.27000752091407776
101,10.1,10.2,41837,0.004586588541666666,0.7310585379600525,0.27111268043518066
102,10.2,10.299999999999999,43453,0.002451171875,0.7310585379600525,0.2701221704483032
103,10.299999999999999,10.4,43991,0.003828125,0.7310585379600525,0.27080008387565613
104,10.4,10.5,42050,0.002151692708333333,0.7310585379600525,0.2700885832309723
105,10.5,10.6,40323,0.00255859375,0.7310585379600525,0.27015817165374756
106,10.6,10.7,39887,0.0019889322916666666,0.7310585379600525,0.2699602544307709
107,10.7,10.799999999999999,40136,0.002685546875,0.7310585379600525,0.270276814699173
108,10.799999999999999,10.9,42166,0.009026692708333334,0.7310585379600525,0.27319297194480896
109,10.9,11.0,43203,0.006497395833333333,0.7310585379600525,0.2720068097114563
110,11.0,11.1,44305,0.003369140625,0.7310585379600525,0.2706010937690735
111,11.1,11.2,44449,0.0042578125,0.7310585379600525,0.27098825573921204
112,11.2,11.299999999999999,42562,0.00724609375,0.7310585379600525,0.2724166512489319
113,11.299999999999999,11.4,41716,0.0042903645833333335,0.7310585379600525,0.2710486054420471
114,11.4,11.5,42670,0.004798177083333333,0.7310585379600525,0.27126026153564453
115,11.5,11.6,42924,0.0038444010416666665,0.7310585379600525,0.27083221077919006
116,11.6,11.7,43154,0.001630859375,0.7310585379600525,0.26976442337036133
117,11.7,11.799999999999999,43682,0.0021223958333333333,0.7310585379600525,0.26998960971832275
118,11.799999999999999,11.899999999999999,43895,0.0016927083333333334,0.7310585379600525,0.26976683735847473
119,11.899999999999999,12.0,43613,0.002210286458333333,0.7310585379600525,0.2699899971485138
120,12.0,12.1,43054,0.002421875,0.7310585379600525,0.27013421058654785
121,12.1,12.2,44976,0.0038444010416666665,0.7310585379600525,0.27071821689605713
122,12.2,12.299999999999999,44981,0.008385416666666666,0.7310585379600525,0.27289581298828125
123,12.299999999999999,12.399999999999999,44685,0.0027018229166666666,0.7310585379600525,0.2702450454235077
124,12.399999999999999,12.5,45533,0.002454427083333333,0.7310585379600525,0.27014872431755066
125,12.5,12.6,44004,0.0030891927083333335,0.7310585379600525,0.27039116621017456
126,12.6,12.7,43228,0.0030989583333333333,0.7310585379600525,0.27047309279441833
127,12.7,12.799999999999999,44796,0.0016861979166666666,0.7310584187507629,0.26983392238616943
128,12.799999999999999,12.899999999999999,45703,0.0023046875,0.7310371398925781,0.2701639235019684
129,12.899999999999999,13.0,42595,0.0025748697916666667,0.7310585379600525,0.2702632546424866
130,13.0,13.1,43678,0.004150390625,0.7310585379600525,0.27112144231796265
131,13.1,13.2,44343,0.011350911458333333,0.7310585379600525,0.27438536286354065
132,13.2,13.299999999999999,44683,0.004319661458333333,0.7310585379600525,0.2710682451725006
133,13.299999999999999,13.399999999999999,44354,0.005302734375,0.7310585379600525,0.2714589536190033
134,13.399999999999999,13.5,44702,0.0040625,0.7310585379600525,0.27096426486968994
135,13.5,13.6,44038,0.0033626302083333334,0.7310585379600525,0.27052566409111023
136,13.6,13.7,43248,0.00533203125,0.7310585379600525,0.27147015929222107
137,13.7,13.799999999999999,44542,0.004296875,0.7310585379600525,0.27100545167922974
138,13.799999999999999,13.899999999999999,44946,0.004169921875,0.7310585379600525,0.27107447385787964
139,13.899999999999999,14.0,44264,0.005872395833333334,0.7310585379600525,0.27178773283958435
140,14.0,14.1,43309,0.004313151041666667,0.7310585379600525,0.27111923694610596
141,14.1,14.2,42454,0.0035709635416666667,0.7310585379600525,0.2707161009311676
142,14.2,14.299999999999999,40624,0.002236328125,0.7310585379600525,0.2700674831867218
143,14.299999999999999,14.399999999999999,38376,0.00220703125,0.7310584783554077,0.27011746168136597
144,14.399999999999999,14.5,38154,0.0020963541666666665,0.7310585379600525,0.26997971534729004
145,14.5,14.6,38909,0.0025846354166666665,0.7310585379600525,0.2703334093093872
146,14.6,14.7,39486,0.006982421875,0.7310585379600525,0.27229636907577515
147,14.7,14.799999999999999,40011,0.006396484375,0.7310585379600525,0.2721635699272156
148,14.799999999999999,14.899999999999999,41877,0.0066569010416666664,0.7310585379600525,0.2722676396369934
149,14.899999999999999,15.0,42080,0.00685546875,0.7310585379600525,0.2722015976905823
150,15.0,15.1,43306,0.002890625,0.7310585379600525,0.2703830897808075
151,15.1,15.2,44515,0.0021126302083333335,0.7310585379600525,0.2700686752796173
152,15.2,15.299999999999999,45799,0.0036197916666666666,0.7310585379600525,0.27070382237434387
153,15.299999999999999,15.399999999999999,45346,0.0012727864583333332,0.7310585379600525,0.2696387767791748
154,15.399999999999999,15.5,46211,0.001025390625,0.7310585379600525,0.26945760846138
155,15.5,15.6,45799,0.00458984375,0.7310585379600525,0.2711399793624878
156,15.6,15.7,46261,0.014069010416666666,0.7310585379600525,0.27552562952041626
157,15.7,15.799999999999999,46142,0.011741536458333333,0.7310585379600525,0.2744341194629669
158,15.799999999999999,15.899999999999999,45568,0.010029296875,0.7310585379600525,0.27366316318511963
159,15.899999999999999,16.0,45384,0.006477864583333334,0.7310585379600525,0.2720012366771698
160,16.0,16.099999999999998,44888,0.00806640625,0.7310585379600525,0.2726778984069824
161,16.099999999999998,16.2,44453,0.005670572916666667,0.7310585379600525,0.271531879901886
162,16.2,16.3,44460,0.00032877604166666667,0.7310581803321838,0.26911661028862
163,16.3,16.4,44561,0.0014420572916666666,0.7310585379600525,0.26962029933929443
164,16.4,16.5,44196,0.00036458333333333335,0.7310585379600525,0.26914355158805847
165,16.5,16.599999999999998,44212,0.007060546875,0.7310585379600525,0.2722388207912445
166,16.599999999999998,16.7,43338,0.0003255208333333333,0.7310582995414734,0.2691109776496887
167,16.7,16.8,42206,0.000322265625,0.73105788230896,0.26910915970802307
168,16.8,16.9,41911,0.0003352864583333333,0.7310582995414734,0.2691200077533722
169,16.9,17.0,41411,0.011627604166666666,0.7310585379600525,0.27422603964805603
170,17.0,17.099999999999998,40599,0.0002897135416666667,0.7310581207275391,0.2690995931625366
171,17.099999999999998,17.2,40649,0.0003255208333333333,0.7310583591461182,0.2691289782524109
172,17.2,17.3,40253,0.00033203125,0.7310584187507629,0.2691180408000946
173,17.3,17.4,38929,0.00046223958333333333,0.7310582995414734,0.2691858112812042
174,17.4,17.5,39221,0.0019173177083333334,0.7310585379600525,0.26993685960769653
175,17.5,17.599999999999998,38894,0.00037760416666666666,0.7310585379600525,0.26913678646087646
176,17.599999999999998,17.7,37931,0.00023763020833333335,0.7310585379600525,0.26906871795654297
177,17.7,17.8,37307,0.00027018229166666667,0.7310582995414734,0.2690792977809906
178,17.8,17.9,36573,0.0002734375,0.7310582399368286,0.2691040337085724
179,17.9,18.0,36107,0.0002571614583333333,0.7310582995414734,0.269118994474411
180,18.0,18.099999999999998,34296,0.00024739583333333335,0.7310585379600525,0.2691291272640228
181,18.099999999999998,18.2,34710,0.0002766927083333333,0.7310585379600525,0.26911187171936035
182,18.2,18.3,33239,0.0003938802083333333,0.7310585379600525,0.269166499376297
183,18.3,18.4,32078,0.0007194010416666667,0.7310566306114197,0.26935112476348877
184,18.4,18.5,34272,0.001123046875,0.7310585379600525,0.269573837518692
185,18.5,18.599999999999998,33608,0.0035774739583333335,0.7310585379600525,0.27071353793144226
186,18.599999999999998,18.7,35918,0.002939453125,0.7310585379600525,0.27039146423339844
187,18.7,18.8,36401,0.000146484375,0.7310569286346436,0.2690611779689789
188,18.8,18.9,37661,0.00021809895833333333,0.73105388879776,0.26910045742988586
189,18.9,19.0,38797,0.0023893229166666668,0.7310585379600525,0.27013319730758667
190,19.0,19.099999999999998,39815,0.0017740885416666667,0.7310585379600525,0.26990148425102234
191,19.099999999999998,19.2,41383,0.009342447916666666,0.7310585379600525,0.27334079146385193
192,19.2,19.3,42557,0.008502604166666667,0.7310585379600525,0.27293264865875244
193,19.3,19.4,43168,0.00021158854166666667,0.7310585379600525,0.26915299892425537
194,19.4,19.5,43832,0.000361328125,0.7310584783554077,0.2691570818424225
195,19.5,19.599999999999998,44409,0.014977213541666666,0.7310585379600525,0.2759127914905548
196,19.599999999999998,19.7,44283,0.00064453125,0.7310585379600525,0.26928168535232544
197,19.7,19.8,44528,0.0018587239583333333,0.7310585379600525,0.2698846459388733
198,19.8,19.9,45582,0.0029264322916666666,0.7310585379600525,0.27039530873298645
199,19.9,20.0,46163,0.0105859375,0.7310585379600525,0.27392587065696716
