interval_index,start_s,end_s,events,dynamic_fraction,max_probability,mean_probability
0,0.0,0.09999999999999999,581591,0.11107421875,0.7310585379600525,0.3203287422657013
1,0.09999999999999999,0.19999999999999998,652538,0.120556640625,0.7310585379600525,0.3245946764945984
2,0.19999999999999998,0.3,692765,0.07162760416666666,0.7310585379600525,0.30224618315696716
3,0.3,0.39999999999999997,662913,0.07027669270833334,0.7310585379600525,0.3014357089996338
4,0.39999999999999997,0.5,600886,0.06519856770833334,0.7310585379600525,0.2991829514503479
5,0.5,0.6,618406,0.10691080729166667,0.7310585379600525,0.31840988993644714
6,0.6,0.7,745908,0.061334635416666665,0.7310585379600525,0.2974744737148285
7,0.7,0.7999999999999999,885903,0.042373046875,0.7310585379600525,0.2887130081653595
8,0.7999999999999999,0.8999999999999999,836418,0.051416015625,0.7310585379600525,0.29285213351249695
9,0.8999999999999999,1.0,612547,0.05029296875,0.7310585379600525,0.2922685444355011
10,1.0,1.0999999999999999,738171,0.058889973958333335,0.7310585379600525,0.2963915169239044
11,1.0999999999999999,1.2,927790,0.068583984375,0.7310585379600525,0.3005772829055786
12,1.2,1.3,959902,0.08421549479166666,0.7310585379600525,0.30772286653518677
13,1.3,1.4,1007924,0.085947265625,0.7310585379600525,0.30862244963645935
14,1.4,1.5,896901,0.060221354166666664,0.7310585379600525,0.29709750413894653
15,1.5,1.5999999999999999,653014,0.10823567708333333,0.7310585379600525,0.31904467940330505
16,1.5999999999999999,1.7,692856,0.08405924479166667,0.7310585379600525,0.3078440725803375
17,1.7,1.7999999999999998,723467,0.05984375,0.7310585379600525,0.2968108057975769
18,1.7999999999999998,1.9,628178,0.04471028645833333,0.7310585379600525,0.2898217439651489
19,1.9,2.0,591937,0.034508463541666666,0.7310585379600525,0.2849431335926056
20,2.0,2.1,667077,0.04243489583333333,0.7310585379600525,0.28860142827033997
21,2.1,2.1999999999999997,649431,0.05431640625,0.7310585379600525,0.29410994052886963
22,2.1999999999999997,2.3,701095,0.032740885416666664,0.7310585379600525,0.28419995307922363
23,2.3,2.4,824047,0.030123697916666668,0.7310585379600525,0.2829641103744507
24,2.4,2.5,984187,0.036201171875,0.7310585379600525,0.2857280373573303
25,2.5,2.6,1037087,0.05091796875,0.7310585379600525,0.2924112379550934
26,2.6,2.6999999999999997,993010,0.07021809895833334,0.7310585379600525,0.3015550374984741
27,2.6999999999999997,2.8,939728,0.04564778645833333,0.7310585379600525,0.2901493012905121
28,2.8,2.9,946931,0.0161328125,0.7310585379600525,0.27661365270614624
29,2.9,3.0,978911,0.019404296875,0.7310585379600525,0.27823832631111145
30,3.0,3.0999999999999996,936142,0.013704427083333333,0.7310585379600525,0.27542275190353394
31,3.0999999999999996,3.1999999999999997,918179,0.044404296875,0.7310585379600525,0.2895549535751343
32,3.1999999999999997,3.3,936808,0.03533854166666667,0.7310585379600525,0.2855239510536194
33,3.3,3.4,913813,0.03219075520833333,0.7310585379600525,0.28404003381729126
34,3.4,3.5,872121,0.03679036458333333,0.7310585379600525,0.28612110018730164
35,3.5,3.5999999999999996,770309,0.04166015625,0.7310585379600525,0.2883304953575134
36,3.5999999999999996,3.6999999999999997,570380,0.06737630208333334,0.7310585379600525,0.29999101161956787
37,3.6999999999999997,3.8,626030,0.03705078125,0.7310585379600525,0.28631165623664856
38,3.8,3.9,681967,0.04760416666666667,0.7310585379600525,0.2909398376941681
39,3.9,4.0,818865,0.061468098958333335,0.7310585379600525,0.29761022329330444
40,4.0,4.1,903547,0.02279296875,0.7310585379600525,0.27967411279678345
41,4.1,4.2,980673,0.029554036458333332,0.7310585379600525,0.282810777425766
42,4.2,4.3,1035310,0.036953125,0.7310585379600525,0.2862061560153961
43,4.3,4.3999999999999995,1075652,0.03267578125,0.7310585379600525,0.2842428684234619
44,4.3999999999999995,4.5,1031568,0.055022786458333334,0.7310585379600525,0.2945479452610016
45,4.5,4.6,786085,0.11974934895833333,0.7310585379600525,0.32422879338264465
46,4.6,4.7,727713,0.06637044270833334,0.7310585379600525,0.2998121380805969
47,4.7,4.8,857184,0.045325520833333334,0.7310585379600525,0.28993111848831177
48,4.8,4.8999999999999995,950168,0.074814453125,0.7310585379600525,0.3035806119441986
49,4.8999999999999995,5.0,1053863,0.061171875,0.7310585379600525,0.29744794964790344
50,5.0,5.1,1062564,0.04781901041666667,0.7310585379600525,0.29105812311172485
51,5.1,5.2,986599,0.07962239583333333,0.7310585379600525,0.3059622645378113
52,5.2,5.3,891275,0.08069661458333334,0.7310585379600525,0.3065136671066284
53,5.3,5.3999999999999995,716300,0.07126953125,0.7310585379600525,0.3020819425582886
54,5.3999999999999995,5.5,495276,0.06390625,0.7310585379600525,0.29858502745628357
55,5.5,5.6,519080,0.037177734375,0.7310585379600525,0.28617292642593384
56,5.6,5.7,561775,0.029694010416666666,0.7310585379600525,0.2827237844467163
57,5.7,5.8,630393,0.006363932291666667,0.7310585379600525,0.27200064063072205
58,5.8,5.8999999999999995,756293,0.03125,0.7310585379600525,0.28328806161880493
59,5.8999999999999995,6.0,886893,0.010250651041666666,0.7310585379600525,0.27377885580062866
60,6.0,6.1,1007605,0.014065755208333334,0.7310585379600525,0.27537596225738525
61,6.1,6.199999999999999,1010781,0.060345052083333336,0.7310585379600525,0.2967153489589691
62,6.199999999999999,6.3,1045348,0.03630533854166667,0.7310585379600525,0.2857682704925537
63,6.3,6.3999999999999995,984025,0.029697265625,0.7310585379600525,0.28280138969421387
64,6.3999999999999995,6.5,828009,0.015533854166666666,0.7310585379600525,0.27624642848968506
65,6.5,6.6,796334,0.016311848958333333,0.7310585379600525,0.2766523063182831
66,6.6,6.699999999999999,781187,0.015771484375,0.7310585379600525,0.2763884365558624
67,6.699999999999999,6.8,791837,0.044459635416666664,0.7310585379600525,0.28950801491737366
68,6.8,6.8999999999999995,879660,0.03819661458333334,0.7310585379600525,0.28673017024993896
69,6.8999999999999995,7.0,970388,0.023603515625,0.7310585379600525,0.2798217236995697
70,7.0,7.1,880513,0.029853515625,0.7310585379600525,0.28285738825798035
71,7.1,7.199999999999999,659353,0.014811197916666666,0.7310585379600525,0.2762114405632019
72,7.199999999999999,7.3,611239,0.001591796875,0.7310584783554077,0.2697557210922241
73,7.3,7.3999999999999995,669846,0.03456705729166667,0.7310585379600525,0.28498920798301697
74,7.3999999999999995,7.5,661263,0.023792317708333333,0.7310585379600525,0.28008872270584106
75,7.5,7.6,601481,0.01787109375,0.7310585379600525,0.2772359848022461
76,7.6,7.699999999999999,625143,0.030384114583333333,0.7310585379600525,0.2830906808376312
77,7.699999999999999,7.8,682201,0.03171549479166667,0.7310585379600525,0.2835783064365387
