frame,start_us,end_us,relative_start_us,relative_end_us,event_count,valid_motion_events,scale,is_observable,scale_valid_points,scale_input_points,denominator,residual_rmse,weighted_residual_rmse,pred_dir_x,pred_dir_y,pred_dir_z,translation_metric_x,translation_metric_y,translation_metric_z,uncertainty_mean,uncertainty_median,depth_mean,depth_median,elapsed_seconds
700,23333100,23366433,0,33333,10338,10338,0.8547943173857415,True,4461,10338,0.29246145751188457,0.03542068837003174,0.03542068837003174,0.08433671031468662,-0.2721084085729052,-0.9585636824278434,0.07209054072427516,-0.23259672136187967,-0.8193747885947807,1.8563377505856045,1.5779390931129456,33.135706434307075,29.023637771606445,0.5593009446747601
701,23366433,23399766,33333,66666,11440,11440,3.498183859176384,True,6547,11440,0.3477227881300985,0.03728961785217417,0.03728961785217417,-0.08198810340414821,-0.05813823521316739,0.9949361268460983,-0.28680945997330204,-0.20337823602400462,3.4804694998496633,1.8223999907935065,1.4885618686676025,42.52344910831718,39.8621826171875,0.23105480894446373
702,23399766,23433099,66666,99999,10783,10783,3.1826377875538565,True,5605,10783,0.2440454476108655,0.03935724073376809,0.03935724073376809,-0.23986344634098872,0.18293656037787553,0.9534147796114807,-0.7633984681796083,0.5822208097851886,3.0343739048113063,1.5113406399432747,1.376051425933838,47.80538135161705,46.060813903808594,0.18715896364301443
703,23433099,23466432,99999,133332,10792,10792,0.9769850565235012,True,3802,10792,1.2743338566134264,0.03619137429681881,0.03619137429681881,-0.9128105428366649,0.3499171324076541,-0.21055857454545093,-0.8918022597970994,0.34186380938711963,-0.20571258085577265,1.6245089065725553,1.4587883353233337,49.485517570581855,49.353681564331055,0.18894335394725204
704,23466432,23499765,133332,166665,10412,10412,1.9029703470261157,True,4910,10412,0.8649517634897624,0.031309179742089854,0.031309179742089854,0.45624941832551025,0.1751705838329009,0.8724401038647454,0.8682291139238543,0.33334442670622055,1.660227647215765,2.1439363365458277,1.745087206363678,35.292966130693,29.42844009399414,0.28363548777997494
705,23499765,23533098,166665,199998,10295,10295,1.460367764779886,True,7490,10295,2.3175593810140294,0.03331009728939596,0.03331009728939596,0.6689020503866291,-0.4235059265477681,-0.6109114315200805,0.9768429921825227,-0.6184744033253199,-0.8921553617299434,2.1360125622238497,1.9130597114562988,39.17324616291848,34.96324920654297,0.3302576798014343
706,23533098,23566431,199998,233331,10842,10842,3.0880256824930057,True,8885,10842,0.7138392752673809,0.039095041074740926,0.039095041074740926,-0.02822175731739571,0.19476899971166475,-0.9804430473838719,-0.08714951140128402,0.6014516732636536,-3.0276333105459226,2.0641146494931473,1.5975670218467712,43.12891937520446,40.55942916870117,0.26509540202096105
707,23566431,23599764,233331,266664,10764,10764,1.3523398176724468,True,7602,10764,2.4993805124820945,0.0339334200042577,0.0339334200042577,0.17200503282111454,-0.03446952415482111,-0.9844928240399207,0.2326092547243574,-0.04661451001084852,-1.331368846163742,2.181742069171707,1.830418884754181,22.042592999749978,21.230466842651367,0.3447839911095798
708,23599764,23633097,266664,299997,10524,10524,2.625381274346948,True,3820,10524,0.159727660474124,0.03215583186516495,0.03215583186516495,0.20515428524347523,-0.2197212012530802,-0.9537475100673095,0.5386082188320162,-0.5768519273487429,-2.5039508533939414,2.0722206340647324,1.7522461414337158,48.17595958673469,44.87440490722656,0.3061572052538395
709,23633097,23666430,299997,333330,10609,10609,1.3125316901813069,True,6869,10609,1.8768337521056813,0.03852760267966534,0.03852760267966534,0.27977128859841666,0.5089174413497376,-0.8140829588932216,0.36720868228932396,0.6679702694594126,-1.0685096819869515,1.9153294070537434,1.522594928741455,33.36855762210932,34.3685417175293,0.24523951904848218
